harvest,season,date,point,spp,origin,basal,height,location,wall,year,cut,number_yrs_grow
campridge,2022,2023.04.03,456,rm,s,0.5,71,i,protected,2022,2019,4
campridge,2022,2023.04.03,456,rm,s,0.25,57.5,i,protected,2022,2019,4
campridge,2022,2023.04.03,456,sb,s,1.25,140,i,protected,2022,2019,4
campridge,2022,2023.04.03,456,ro,s,0.75,68,i,protected,2022,2019,4
campridge,2022,2023.04.03,457,rm,s,0.2,55,i,protected,2022,2019,4
campridge,2022,2023.04.03,457,rm,s,0.5,65,i,protected,2022,2019,4
campridge,2022,2023.04.03,457,ab,v,1,81,i,protected,2022,2019,4
campridge,2022,2023.04.03,457,ro,s,0.5,56,i,protected,2022,2019,4
campridge,2022,2023.04.03,458,rm,s,0.2,55,i,protected,2022,2019,4
campridge,2022,2023.04.03,458,sb,s,1,122,i,protected,2022,2019,4
campridge,2022,2023.04.03,458,sb,s,1,123,i,protected,2022,2019,4
campridge,2022,2023.04.03,458,wa,s,0.75,71,i,protected,2022,2019,4
campridge,2022,2023.04.03,458,ro,s,0.5,76,i,protected,2022,2019,4
campridge,2022,2023.03.29,459,rm,s,0.25,48,p,protected,2022,2019,4
campridge,2022,2023.03.29,459,rm,s,0.5,73,p,protected,2022,2019,4
campridge,2022,2023.03.29,459,rm,s,0.25,57,p,protected,2022,2019,4
campridge,2022,2023.03.29,459,rm,s,0.2,48,p,protected,2022,2019,4
campridge,2022,2023.03.29,459,eh,s,1.75,162,p,protected,2022,2019,4
campridge,2022,2023.03.29,460,rm,s,0.6,75,p,protected,2022,2019,4
campridge,2022,2023.03.29,460,rm,s,0.5,65,p,protected,2022,2019,4
