harvest,location,point,type,spp,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl
red_pine,interior,335,commercial,wa,2025.6716964119687,0,0,0,0,0,0,0
red_pine,interior,336,commercial,bc,0,0,0,0,0,385.1589656094425,0,0
red_pine,interior,336,commercial,rm,2025.6716964119687,0,0,0,0,0,0,0
red_pine,interior,336,commercial,sb,1012.8358482059843,0,0,0,0,0,0,0
red_pine,interior,336,commercial,wa,0,0,0,0,1012.8358482059843,385.1589656094425,0,0
red_pine,interior,337,commercial,rm,0,0,0,0,8102.686785647875,385.1589656094425,0,0
red_pine,interior,338,commercial,rm,0,0,0,0,20256.71696411969,1540.63586243777,0,0
red_pine,interior,338,commercial,sm,0,0,0,0,1012.8358482059843,0,0,0
red_pine,interior,338,commercial,wa,0,0,0,0,4051.3433928239374,0,0,0
red_pine,interior,339,commercial,rm,0,0,0,0,0,385.1589656094425,0,0
red_pine,interior,339,commercial,ro,0,0,0,0,2025.6716964119687,0,0,0
red_pine,interior,339,commercial,wa,0,0,0,0,4051.3433928239374,0,0,0
red_pine,interior,339,commercial,wo,0,0,0,0,1012.8358482059843,0,0,0
red_pine,interior,340,commercial,co,0,0,0,0,3038.507544617953,0,0,0
red_pine,interior,340,commercial,rm,12154.030178471812,0,0,0,0,0,0,0
red_pine,interior,340,commercial,ro,0,0,0,0,1012.8358482059843,770.317931218885,0,0
red_pine,interior,340,commercial,wa,3038.507544617953,0,0,0,6077.015089235906,2696.1127592660973,0,0
red_pine,interior,340,commercial,wp,1012.8358482059843,0,0,0,0,0,0,0
red_pine,interior,341,commercial,rm,0,0,0,0,1012.8358482059843,0,0,0
red_pine,interior,342,commercial,rm,0,0,0,0,6077.015089235906,1155.4768968283274,0,0
red_pine,interior,343,commercial,wa,1012.8358482059843,0,0,0,0,0,0,0
red_pine,interior,344,commercial,rm,1012.8358482059843,0,0,0,4051.3433928239374,385.1589656094425,0,385.1589656094425
red_pine,interior,344,commercial,sb,0,0,0,0,2025.6716964119687,385.1589656094425,0,0
red_pine,interior,345,commercial,rm,0,0,0,0,7089.85093744189,0,0,0
red_pine,interior,345,commercial,wa,0,0,0,0,7089.85093744189,0,0,0
red_pine,interior,346,commercial,rm,0,0,0,0,28359.40374976756,385.1589656094425,0,0
red_pine,interior,346,commercial,ro,0,0,0,0,6077.015089235906,0,0,0
