"harvest"	"location"	"spp"	"origin"	"point"	"sup.seed01A"	"sup.seed02A"	"sup.seed03A"	"sup.saplA"	"exp.seed01A"	"exp.seed02A"	"exp.seed03A"	"exp.saplA"	"suppressed"	"exposed"	"top4A"
"132"	"gl"	"perimeter"	"318"	"s"	801	0	0	0	0	0	0	0	0	0	0	0
"133"	"gl"	"perimeter"	"318"	"s"	802	3038.50754461795	1155.47689682833	1155.47689682833	1155.47689682833	3038.50754461795	1155.47689682833	1155.47689682833	1155.47689682833	6504.93823510294	6504.93823510294	0
"134"	"gl"	"perimeter"	"318"	"s"	808	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"135"	"gl"	"perimeter"	"318"	"s"	835	0	0	0	0	0	0	0	0	0	0	0
"136"	"gl"	"interior"	"318"	"s"	840	0	0	0	0	0	0	0	0	0	0	0
"137"	"gl"	"interior"	"318"	"s"	843	0	0	0	0	0	0	0	0	0	0	0
"138"	"gl"	"interior"	"318"	"s"	847	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	8673.25098013725	8673.25098013725	0
"139"	"gl"	"interior"	"318"	"s"	853	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"140"	"gl"	"interior"	"318"	"s"	864	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"141"	"gl"	"interior"	"318"	"s"	865	7089.85093744189	2696.1127592661	2696.1127592661	2696.1127592661	7089.85093744189	2696.1127592661	2696.1127592661	2696.1127592661	15178.1892152402	15178.1892152402	0
"142"	"gl"	"interior"	"318"	"s"	878	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"143"	"rp"	"interior"	"318"	"s"	338	0	0	0	0	0	0	0	0	0	0	0
"144"	"rp"	"interior"	"318"	"s"	346	0	0	0	0	0	0	0	0	0	0	0
"145"	"rp"	"perimeter"	"318"	"s"	891	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"146"	"wedge"	"perimeter"	"318"	"s"	967	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"147"	"gl"	"perimeter"	"318"	"t"	802	0	0	0	0	0	0	0	0	0	0	0
"148"	"gl"	"perimeter"	"318"	"t"	804	0	0	0	0	0	0	0	0	0	0	0
"149"	"gl"	"perimeter"	"318"	"t"	807	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	4336.62549006862	4336.62549006862	0
"150"	"gl"	"perimeter"	"318"	"t"	808	0	0	0	0	0	0	0	0	0	0	0
"151"	"gl"	"perimeter"	"318"	"t"	831	0	0	0	0	0	0	0	0	0	0	0
"152"	"gl"	"interior"	"318"	"t"	837	0	0	0	0	0	0	0	0	0	0	0
"153"	"gl"	"interior"	"318"	"t"	837	0	0	0	0	0	0	0	0	0	0	0
"154"	"gl"	"interior"	"318"	"t"	837	0	0	0	0	0	0	0	0	0	0	0
"155"	"gl"	"interior"	"318"	"t"	842	0	0	0	0	0	0	0	0	0	0	0
"156"	"gl"	"interior"	"318"	"t"	851	0	0	0	0	0	0	0	0	0	0	0
"157"	"gl"	"interior"	"318"	"t"	852	0	0	0	0	0	0	0	0	0	0	0
"158"	"gl"	"interior"	"318"	"t"	853	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"159"	"gl"	"interior"	"318"	"t"	859	0	0	0	0	0	0	0	0	0	0	0
"160"	"gl"	"interior"	"318"	"t"	860	0	0	0	0	0	0	0	0	0	0	0
