harvest,year,date,location,point,spp,origin,basal2019,height
gas_line,2019,2020.07.13,control,737,sb,singl/unk,0.25,32
gas_line,2019,2020.07.10,control,743,sb,singl/unk,0.25,29
gas_line,2019,2020.07.14,control,734,sb,singl/unk,0.2,29.5
gas_line,2019,2020.07.14,control,738,sb,singl/unk,0.5,32
gas_line,2019,2020.07.10,control,743,sb,singl/unk,0.25,33
gas_line,2019,2020.07.13,control,736,sb,singl/unk,0.6,59
gas_line,2019,2020.07.10,control,744,sb,singl/unk,0.3,60
gas_line,2019,2020.07.13,control,741,sb,singl/unk,0.25,25
gas_line,2019,2020.07.10,control,745,sb,singl/unk,0.3,44
gas_line,2019,2020.07.14,control,729,sb,singl/unk,0.5,39
gas_line,2019,2020.07.10,control,742,sb,singl/unk,0.2,23.5
gas_line,2019,2020.07.10,control,744,sb,singl/unk,0.7,74.5
gas_line,2019,2020.07.14,control,731,sb,singl/unk,0.3,45.5
gas_line,2019,2020.07.10,control,743,sb,singl/unk,0.25,41
gas_line,2019,2020.07.13,control,739,sb,singl/unk,0.25,42
gas_line,2019,2020.07.10,control,745,sb,singl/unk,0.5,67
gas_line,2019,2020.07.13,control,736,ab,singl/unk,0.75,26.5
gas_line,2019,2020.07.13,control,737,ab,singl/unk,0.7,43
gas_line,2019,2020.07.14,control,735,wa,singl/unk,0.4,24
gas_line,2019,2020.07.14,control,738,wa,singl/unk,0.2,14.5
gas_line,2019,2020.07.14,control,729,wa,singl/unk,0.25,19
gas_line,2019,2020.07.14,control,730,wa,singl/unk,0.25,22
gas_line,2019,2020.07.14,control,730,wa,singl/unk,0.4,38
gas_line,2019,2020.07.14,control,733,wa,singl/unk,0.2,18
gas_line,2019,2020.07.13,control,736,wa,singl/unk,0.2,19
gas_line,2019,2020.07.13,control,737,bc,singl/unk,0.2,21.5
gas_line,2019,2020.07.14,control,738,bc,singl/unk,0.3,29
gas_line,2019,2020.07.14,control,730,bc,singl/unk,0.4,50.5
gas_line,2019,2020.07.13,control,737,ro,singl/unk,0.4,16
gas_line,2019,2020.07.10,control,745,ro,singl/unk,0.2,11
gas_line,2019,2020.07.14,control,735,ro,singl/unk,0.25,15.5
gas_line,2019,2020.07.14,control,730,ro,singl/unk,0.35,20
gas_line,2019,2020.07.14,control,733,ro,singl/unk,0.25,15
gas_line,2019,2020.07.14,control,731,ro,singl/unk,0.25,22
gas_line,2019,2020.07.10,control,744,ro,singl/unk,0.15,18.5
gas_line,2019,2020.07.13,control,740,ro,singl/unk,0.5,28.5
gas_line,2019,2020.07.13,control,736,ro,singl/unk,0.25,28
red_pine,2019,2020.07.14,control,768,wp,singl/unk,0.25,15
red_pine,2019,2020.07.14,control,770,rm,singl/unk,0.25,17
red_pine,2019,2020.07.14,control,768,rm,singl/unk,0.3,16.5
red_pine,2019,2020.07.15,control,775,rm,singl/unk,0.2,15
red_pine,2019,2020.07.14,control,770,rm,singl/unk,0.25,22.5
red_pine,2019,2020.07.15,control,771,rm,singl/unk,0.15,74.5
red_pine,2019,2020.07.16,control,761,rm,singl/unk,0.2,18
red_pine,2019,2020.07.14,control,769,rm,singl/unk,0.2,18.5
red_pine,2019,2020.07.17,control,748,sb,singl/unk,0.15,16
red_pine,2019,2020.07.16,control,752,sb,singl/unk,0.15,18.5
red_pine,2019,2020.07.17,control,746,sb,singl/unk,0.15,23.5
red_pine,2019,2020.07.14,control,768,sb,singl/unk,0.15,12
red_pine,2019,2020.07.16,control,762,sb,singl/unk,0.25,23.5
red_pine,2019,2020.07.16,control,758,sb,singl/unk,0.15,21.5
red_pine,2019,2020.07.16,control,758,sb,singl/unk,0.2,29.5
red_pine,2019,2020.07.17,control,746,sb,singl/unk,0.15,18.5
red_pine,2019,2020.07.17,control,747,sb,singl/unk,0.15,17
red_pine,2019,2020.07.17,control,764,sb,singl/unk,0.25,15
red_pine,2019,2020.07.15,control,771,sb,singl/unk,0.4,34.5
red_pine,2019,2020.07.16,control,754,sb,singl/unk,0.5,31
red_pine,2019,2020.07.16,control,763,sb,singl/unk,0.25,25.5
red_pine,2019,2020.07.17,control,747,sb,singl/unk,0.2,38
red_pine,2019,2020.07.16,control,753,sb,singl/unk,0.2,29
red_pine,2019,2020.07.16,control,761,sb,singl/unk,0.25,42
red_pine,2019,2020.07.14,control,769,sb,singl/unk,0.3,31
red_pine,2019,2020.07.16,control,761,sb,singl/unk,0.6,49
red_pine,2019,2020.07.17,control,764,pb,singl/unk,0.2,14
red_pine,2019,2020.07.17,control,748,pb,singl/unk,0.2,22.5
red_pine,2019,2020.07.16,control,752,pb,singl/unk,0.25,35
red_pine,2019,2020.07.15,control,775,ab,singl/unk,1,35
red_pine,2019,2020.07.16,control,760,ab,singl/unk,0.25,23
red_pine,2019,2020.07.14,control,768,wa,singl/unk,0.2,11
red_pine,2019,2020.07.16,control,759,wa,singl/unk,0.2,11.5
red_pine,2019,2020.07.16,control,760,wa,singl/unk,0.2,20
red_pine,2019,2020.07.14,control,770,wa,singl/unk,0.15,15.5
red_pine,2019,2020.07.17,control,748,wa,singl/unk,0.2,16.5
red_pine,2019,2020.07.15,control,774,wa,singl/unk,0.2,16
red_pine,2019,2020.07.15,control,772,wa,singl/unk,0.25,22
red_pine,2019,2020.07.17,control,748,wa,singl/unk,0.2,21
red_pine,2019,2020.07.14,control,770,wo,singl/unk,0.5,29
red_pine,2019,2020.07.16,control,752,co,singl/unk,0.2,20.5
red_pine,2019,2020.07.16,control,763,co,singl/unk,0.2,18
red_pine,2019,2020.07.16,control,752,co,singl/unk,0.3,15
red_pine,2019,2020.07.17,control,748,co,singl/unk,0.2,17
red_pine,2019,2020.07.16,control,753,co,singl/unk,0.5,25.5
red_pine,2019,2020.07.16,control,762,co,singl/unk,0.25,24
red_pine,2019,2020.07.16,control,755,co,singl/unk,0.5,30
red_pine,2019,2020.07.16,control,757,ro,singl/unk,0.65,33
red_pine,2019,2020.07.15,control,774,ro,singl/unk,0.2,13
red_pine,2019,2020.07.15,control,771,ro,singl/unk,0.65,35
red_pine,2019,2020.07.14,control,767,ro,singl/unk,0.35,30
red_pine,2019,2020.07.14,control,769,ro,singl/unk,0.25,20.5
red_pine,2019,2020.07.15,control,771,ro,singl/unk,0.45,12.5
red_pine,2019,2020.07.17,control,751,ro,singl/unk,0.2,13
red_pine,2019,2020.07.16,control,754,ro,singl/unk,0.25,13
red_pine,2019,2020.07.14,control,768,ro,singl/unk,0.25,22
red_pine,2019,2020.07.15,control,772,ro,singl/unk,0.4,19
red_pine,2019,2020.07.15,control,775,ro,singl/unk,0.25,13.5
red_pine,2019,2020.07.15,control,772,ro,singl/unk,0.25,11.5
red_pine,2019,2020.07.15,control,774,ro,singl/unk,0.5,25
red_pine,2019,2020.07.16,control,760,ro,singl/unk,0.2,18
red_pine,2019,2020.07.15,control,773,ro,singl/unk,0.2,12.5
red_pine,2019,2020.07.17,control,764,ro,singl/unk,0.6,32.5
sta_rd,2019,2020.07.06,control,390,la,singl/unk,0.3,20
sta_rd,2019,2020.07.06,control,949,rm,singl/unk,0.2,29
sta_rd,2019,2020.07.06,control,948,rm,singl/unk,0.15,26
sta_rd,2019,2020.07.06,control,948,rm,singl/unk,0.15,23
sta_rd,2019,2020.07.06,control,947,sm,singl/unk,0.15,17
sta_rd,2019,2020.07.06,control,947,sm,singl/unk,0.25,27
sta_rd,2019,2020.07.06,control,948,sm,singl/unk,0.15,16
sta_rd,2019,2020.07.07,control,394,yb,singl/unk,0.2,25.5
sta_rd,2019,2020.07.06,control,389,yb,singl/unk,0.2,32
sta_rd,2019,2020.07.06,control,390,yb,singl/unk,0.2,25
sta_rd,2019,2020.07.06,control,389,yb,singl/unk,0.3,29
sta_rd,2019,2020.07.06,control,390,yb,singl/unk,0.25,36
sta_rd,2019,2020.07.06,control,388,yb,singl/unk,0.25,37
sta_rd,2019,2020.07.06,control,388,yb,singl/unk,0.2,32
sta_rd,2019,2020.07.06,control,388,yb,singl/unk,0.25,35.5
sta_rd,2019,2020.07.06,control,390,yb,singl/unk,0.25,38
sta_rd,2019,2020.07.07,control,705,sb,singl/unk,0.15,23
