harvest,year,date,location,point,spp,origin,basal2019,height
boot,2019,2020.06.12,interior,368,wa,s,0.15,15
boot,2019,2020.06.12,perimeter,954,wa,s,0.2,21
boot,2019,2020.06.19,perimeter,952,wa,s,0.4,28
boot,2019,2020.06.16,interior,349,wa,s,0.15,16
boot,2019,2020.06.17,perimeter,951,wa,s,0.15,34.5
boot,2019,2020.06.12,interior,367,wa,s,0.2,20
boot,2019,2020.06.12,interior,361,wa,s,0.3,41
boot,2019,2020.06.12,perimeter,954,wa,s,0.2,21
boot,2019,2020.06.15,perimeter,959,wa,s,0.25,22.5
boot,2019,2020.06.22,interior,359,wa,s,0.2,26
boot,2019,2020.06.12,interior,368,wa,s,0.2,18.5
boot,2019,2020.06.12,interior,361,wa,s,0.3,27.5
boot,2019,2020.06.22,perimeter,961,wa,s,0.2,22
boot,2019,2020.06.15,interior,362,wa,s,0.2,37.5
boot,2019,2020.06.12,interior,361,wa,s,0.5,37
boot,2019,2020.06.15,interior,362,wa,s,0.25,35.5
boot,2019,2020.06.22,interior,364,wa,s,0.3,38
boot,2019,2020.06.16,interior,350,wa,s,0.25,24
boot,2019,2020.06.19,perimeter,953,wa,s,0.25,30.5
boot,2019,2020.06.22,interior,359,wa,s,0.2,29.5
boot,2019,2020.06.22,interior,365,wa,s,0.2,35
boot,2019,2020.06.22,perimeter,960,wa,s,0.2,40
boot,2019,2020.06.15,interior,363,cu,s,0.25,21.5
boot,2019,2020.06.22,interior,352,cu,s,0.4,20
boot,2019,2020.06.17,perimeter,951,bc,s,0.5,61
boot,2019,2020.06.12,interior,367,ro,s,0.25,28
boot,2019,2020.06.12,perimeter,954,ro,s,0.2,19
boot,2019,2020.06.12,perimeter,955,ba,s,0.25,18
gas_line,2019,2020.07.14,control,734,wp,s,0.9,23
gas_line,2019,2020.07.14,control,730,rm,s,0.2,16.5
gas_line,2019,2020.07.14,control,730,rm,s,0.25,32
gas_line,2019,2020.07.13,control,741,rm,s,0.25,28
gas_line,2019,2020.07.13,control,736,rm,s,0.2,27.5
gas_line,2019,2020.07.14,control,734,svb,s,0.3,32
gas_line,2019,2020.07.13,control,740,sb,s,0.25,23
gas_line,2019,2020.07.14,control,729,sb,s,0.25,26
gas_line,2019,2020.07.14,control,735,sb,s,0.25,35
gas_line,2019,2020.07.14,control,731,sb,s,0.4,43
gas_line,2019,2020.07.14,control,733,sb,s,0.2,23
gas_line,2019,2020.07.13,control,737,sb,s,0.25,32
gas_line,2019,2020.07.10,control,743,sb,s,0.25,29
gas_line,2019,2020.07.14,control,734,sb,s,0.2,29.5
gas_line,2019,2020.07.14,control,738,sb,s,0.5,32
gas_line,2019,2020.07.10,control,743,sb,s,0.25,33
gas_line,2019,2020.07.13,control,736,sb,s,0.6,59
gas_line,2019,2020.07.10,control,744,sb,s,0.3,60
gas_line,2019,2020.07.13,control,741,sb,s,0.25,25
gas_line,2019,2020.07.10,control,745,sb,s,0.3,44
gas_line,2019,2020.07.14,control,729,sb,s,0.5,39
gas_line,2019,2020.07.10,control,742,sb,s,0.2,23.5
gas_line,2019,2020.07.10,control,744,sb,s,0.7,74.5
gas_line,2019,2020.07.14,control,731,sb,s,0.3,45.5
gas_line,2019,2020.07.10,control,743,sb,s,0.25,41
gas_line,2019,2020.07.13,control,739,sb,s,0.25,42
gas_line,2019,2020.07.10,control,745,sb,s,0.5,67
gas_line,2019,2020.07.13,control,736,ab,s,0.75,26.5
gas_line,2019,2020.07.13,control,737,ab,s,0.7,43
gas_line,2019,2020.07.14,control,735,wa,s,0.4,24
gas_line,2019,2020.07.14,control,738,wa,s,0.2,14.5
gas_line,2019,2020.07.14,control,729,wa,s,0.25,19
gas_line,2019,2020.07.14,control,730,wa,s,0.25,22
gas_line,2019,2020.07.14,control,730,wa,s,0.4,38
gas_line,2019,2020.07.14,control,733,wa,s,0.2,18
gas_line,2019,2020.07.13,control,736,wa,s,0.2,19
gas_line,2019,2020.07.13,control,737,bc,s,0.2,21.5
gas_line,2019,2020.07.14,control,738,bc,s,0.3,29
gas_line,2019,2020.07.14,control,730,bc,s,0.4,50.5
gas_line,2019,2020.07.13,control,737,ro,s,0.4,16
gas_line,2019,2020.07.10,control,745,ro,s,0.2,11
gas_line,2019,2020.07.14,control,735,ro,s,0.25,15.5
gas_line,2019,2020.07.14,control,730,ro,s,0.35,20
gas_line,2019,2020.07.14,control,733,ro,s,0.25,15
gas_line,2019,2020.07.14,control,731,ro,s,0.25,22
gas_line,2019,2020.07.10,control,744,ro,s,0.15,18.5
gas_line,2019,2020.07.13,control,740,ro,s,0.5,28.5
gas_line,2019,2020.07.13,control,736,ro,s,0.25,28
red_pine,2019,2020.07.14,control,768,wp,s,0.25,15
red_pine,2019,2020.07.14,control,770,rm,s,0.25,17
red_pine,2019,2020.07.14,control,768,rm,s,0.3,16.5
red_pine,2019,2020.07.15,control,775,rm,s,0.2,15
red_pine,2019,2020.07.14,control,770,rm,s,0.25,22.5
red_pine,2019,2020.07.15,control,771,rm,s,0.15,74.5
red_pine,2019,2020.07.16,control,761,rm,s,0.2,18
red_pine,2019,2020.07.14,control,769,rm,s,0.2,18.5
red_pine,2019,2020.07.17,control,748,sb,s,0.15,16
red_pine,2019,2020.07.16,control,752,sb,s,0.15,18.5
red_pine,2019,2020.07.17,control,746,sb,s,0.15,23.5
red_pine,2019,2020.07.14,control,768,sb,s,0.15,12
red_pine,2019,2020.07.16,control,762,sb,s,0.25,23.5
red_pine,2019,2020.07.16,control,758,sb,s,0.15,21.5
red_pine,2019,2020.07.16,control,758,sb,s,0.2,29.5
red_pine,2019,2020.07.17,control,746,sb,s,0.15,18.5
red_pine,2019,2020.07.17,control,747,sb,s,0.15,17
red_pine,2019,2020.07.17,control,764,sb,s,0.25,15
red_pine,2019,2020.07.15,control,771,sb,s,0.4,34.5
red_pine,2019,2020.07.16,control,754,sb,s,0.5,31
red_pine,2019,2020.07.16,control,763,sb,s,0.25,25.5
red_pine,2019,2020.07.17,control,747,sb,s,0.2,38
red_pine,2019,2020.07.16,control,753,sb,s,0.2,29
red_pine,2019,2020.07.16,control,761,sb,s,0.25,42
red_pine,2019,2020.07.14,control,769,sb,s,0.3,31
red_pine,2019,2020.07.16,control,761,sb,s,0.6,49
red_pine,2019,2020.07.17,control,764,pb,s,0.2,14
red_pine,2019,2020.07.17,control,748,pb,s,0.2,22.5
red_pine,2019,2020.07.16,control,752,pb,s,0.25,35
red_pine,2019,2020.07.15,control,775,ab,s,1,35
red_pine,2019,2020.07.16,control,760,ab,s,0.25,23
red_pine,2019,2020.07.14,control,768,wa,s,0.2,11
red_pine,2019,2020.07.16,control,759,wa,s,0.2,11.5
red_pine,2019,2020.07.16,control,760,wa,s,0.2,20
red_pine,2019,2020.07.14,control,770,wa,s,0.15,15.5
red_pine,2019,2020.07.17,control,748,wa,s,0.2,16.5
red_pine,2019,2020.07.15,control,774,wa,s,0.2,16
red_pine,2019,2020.07.15,control,772,wa,s,0.25,22
red_pine,2019,2020.07.17,control,748,wa,s,0.2,21
red_pine,2019,2020.07.14,control,770,wo,s,0.5,29
red_pine,2019,2020.07.16,control,752,co,s,0.2,20.5
red_pine,2019,2020.07.16,control,763,co,s,0.2,18
red_pine,2019,2020.07.16,control,752,co,s,0.3,15
red_pine,2019,2020.07.17,control,748,co,s,0.2,17
red_pine,2019,2020.07.16,control,753,co,s,0.5,25.5
red_pine,2019,2020.07.16,control,762,co,s,0.25,24
red_pine,2019,2020.07.16,control,755,co,s,0.5,30
red_pine,2019,2020.07.16,control,757,ro,s,0.65,33
red_pine,2019,2020.07.15,control,774,ro,s,0.2,13
red_pine,2019,2020.07.15,control,771,ro,s,0.65,35
red_pine,2019,2020.07.14,control,767,ro,s,0.35,30
red_pine,2019,2020.07.14,control,769,ro,s,0.25,20.5
red_pine,2019,2020.07.15,control,771,ro,s,0.45,12.5
red_pine,2019,2020.07.17,control,751,ro,s,0.2,13
red_pine,2019,2020.07.16,control,754,ro,s,0.25,13
red_pine,2019,2020.07.14,control,768,ro,s,0.25,22
red_pine,2019,2020.07.15,control,772,ro,s,0.4,19
red_pine,2019,2020.07.15,control,775,ro,s,0.25,13.5
red_pine,2019,2020.07.15,control,772,ro,s,0.25,11.5
red_pine,2019,2020.07.15,control,774,ro,s,0.5,25
red_pine,2019,2020.07.16,control,760,ro,s,0.2,18
red_pine,2019,2020.07.15,control,773,ro,s,0.2,12.5
red_pine,2019,2020.07.17,control,764,ro,s,0.6,32.5
wedge_boot,2019,2020.07.06,control,390,la,s,0.3,20
wedge_boot,2019,2020.07.06,control,949,rm,s,0.2,29
wedge_boot,2019,2020.07.06,control,948,rm,s,0.15,26
wedge_boot,2019,2020.07.06,control,948,rm,s,0.15,23
wedge_boot,2019,2020.07.06,control,947,sm,s,0.15,17
wedge_boot,2019,2020.07.06,control,947,sm,s,0.25,27
wedge_boot,2019,2020.07.06,control,948,sm,s,0.15,16
wedge_boot,2019,2020.07.07,control,394,yb,s,0.2,25.5
wedge_boot,2019,2020.07.06,control,389,yb,s,0.2,32
wedge_boot,2019,2020.07.06,control,390,yb,s,0.2,25
wedge_boot,2019,2020.07.06,control,389,yb,s,0.3,29
wedge_boot,2019,2020.07.06,control,390,yb,s,0.25,36
wedge_boot,2019,2020.07.06,control,388,yb,s,0.25,37
wedge_boot,2019,2020.07.06,control,388,yb,s,0.2,32
wedge_boot,2019,2020.07.06,control,388,yb,s,0.25,35.5
wedge_boot,2019,2020.07.06,control,390,yb,s,0.25,38
wedge_boot,2019,2020.07.07,control,705,sb,s,0.15,23
wedge_boot,2019,2020.07.09,control,702,sb,s,0.15,27
wedge_boot,2019,2020.07.07,control,705,sb,s,0.2,29.5
wedge_boot,2019,2020.06.29,control,387,sb,s,0.15,30.5
wedge_boot,2019,2020.07.09,control,702,sb,s,0.2,28
wedge_boot,2019,2020.07.07,control,704,sb,s,0.2,37
wedge_boot,2019,2020.07.07,control,397,sb,s,0.2,32.5
wedge_boot,2019,2020.07.06,control,948,sb,s,0.5,37
wedge_boot,2019,2020.07.09,control,702,sb,s,0.2,37
wedge_boot,2019,2020.06.29,control,387,sb,s,0.2,16.5
wedge_boot,2019,2020.07.06,control,385,sb,s,0.6,56
wedge_boot,2019,2020.06.29,control,393,sb,s,0.2,37
wedge_boot,2019,2020.07.06,control,949,sb,s,1,79
wedge_boot,2019,2020.06.29,control,393,sb,s,0.2,37.5
wedge_boot,2019,2020.07.07,control,398,sb,s,0.2,40.5
wedge_boot,2019,2020.07.09,control,711,sb,s,0.2,25
wedge_boot,2019,2020.07.07,control,707,sb,s,0.5,32
wedge_boot,2019,2020.06.29,control,392,sb,s,0.2,19
wedge_boot,2019,2020.07.07,control,706,sb,s,0.2,33
wedge_boot,2019,2020.07.06,control,385,sb,s,0.7,76
wedge_boot,2019,2020.07.07,control,708,sb,s,0.2,31
wedge_boot,2019,2020.06.29,control,391,sb,s,0.25,33
wedge_boot,2019,2020.06.29,control,387,sb,s,0.2,28
wedge_boot,2019,2020.06.29,control,392,sb,s,0.2,19.5
wedge_boot,2019,2020.06.29,control,386,sb,s,0.25,25
wedge_boot,2019,2020.07.07,control,708,sb,s,0.25,37
wedge_boot,2019,2020.07.07,control,396,sb,s,0.9,107
wedge_boot,2019,2020.07.06,control,385,sb,s,0.3,61.5
wedge_boot,2019,2020.06.29,control,386,sb,s,0.25,30.5
wedge_boot,2019,2020.06.29,control,386,sb,s,0.25,47
wedge_boot,2019,2020.06.29,control,386,sb,s,0.3,50.5
wedge_boot,2019,2020.06.29,control,393,ab,s,1,92
wedge_boot,2019,2020.07.06,control,389,ab,s,0.75,54
wedge_boot,2019,2020.06.29,control,392,ab,s,0.65,38
wedge_boot,2019,2020.07.09,control,400,ab,s,0.9,41.5
wedge_boot,2019,2020.07.06,control,949,ab,s,0.5,34
wedge_boot,2019,2020.07.09,control,702,ab,s,0.65,34
wedge_boot,2019,2020.07.09,control,703,ab,s,0.75,50
wedge_boot,2019,2020.07.07,control,704,wa,s,0.2,22.5
wedge_boot,2019,2020.07.09,control,710,wa,s,0.2,21
wedge_boot,2019,2020.07.06,control,384,wa,s,0.3,43
wedge_boot,2019,2020.07.07,control,707,wa,s,0.15,12
wedge_boot,2019,2020.07.06,control,384,wa,s,0.4,37.5
wedge_boot,2019,2020.07.06,control,946,wa,s,0.25,39
wedge_boot,2019,2020.07.06,control,946,wa,s,0.25,38
wedge_boot,2019,2020.07.06,control,385,wa,s,0.25,32.5
wedge_boot,2019,2020.07.06,control,949,wa,s,0.3,44.5
wedge_boot,2019,2020.07.09,control,399,wa,s,0.25,18
wedge_boot,2019,2020.07.06,control,949,wa,s,0.3,31
wedge_boot,2019,2020.07.09,control,713,wa,s,0.2,21.5
wedge_boot,2019,2020.07.07,control,704,wa,s,0.2,22
wedge_boot,2019,2020.07.06,control,947,wa,s,0.4,39
wedge_boot,2019,2020.07.07,control,394,wa,s,0.4,20.5
wedge_boot,2019,2020.07.09,control,712,wa,s,0.25,28
wedge_boot,2019,2020.07.07,control,395,wa,s,0.25,29
wedge_boot,2019,2020.07.06,control,947,wa,s,0.5,37.5
wedge_boot,2019,2020.07.06,control,385,wa,s,0.3,32
wedge_boot,2019,2020.07.06,control,948,wa,s,0.25,33
wedge_boot,2019,2020.07.07,control,396,wa,s,0.2,19
wedge_boot,2019,2020.07.09,control,701,wa,s,0.2,26
wedge_boot,2019,2020.07.07,control,394,wa,s,0.3,23.5
wedge_boot,2019,2020.07.06,control,946,wa,s,0.2,24
wedge_boot,2019,2020.07.07,control,398,wa,s,0.25,25.5
wedge_boot,2019,2020.07.09,control,703,wa,s,0.4,36
wedge_boot,2019,2020.07.06,control,384,wa,s,0.25,30.5
wedge_boot,2019,2020.07.07,control,397,wa,s,0.2,41
wedge_boot,2019,2020.07.07,control,707,wa,s,0.4,30
wedge_boot,2019,2020.07.09,control,710,wa,s,0.25,35.5
wedge_boot,2019,2020.07.09,control,703,wa,s,0.2,38
wedge_boot,2019,2020.07.07,control,708,wa,s,0.25,24
wedge_boot,2019,2020.07.06,control,384,wa,s,0.25,31
wedge_boot,2019,2020.07.09,control,400,wa,s,0.25,42.5
wedge_boot,2019,2020.07.07,control,395,wa,s,0.75,59
wedge_boot,2019,2020.07.07,control,395,wa,s,0.35,31.5
wedge_boot,2019,2020.06.29,control,387,ro,s,0.1,5
wedge_boot,2019,2020.07.07,control,708,ro,s,0.65,54
wedge_boot,2019,2020.07.06,control,949,ro,s,0.3,36
gas_line,2019,2020.04.14,interior,841,rp,s,1.2,39
gas_line,2019,2020.04.16,perimeter,834,rm,s,0.75,45
gas_line,2019,2020.04.22,interior,877,rm,s,0.25,24
gas_line,2019,2020.04.16,perimeter,834,rm,s,0.2,28.5
gas_line,2019,2020.04.06,interior,864,rm,s,0.1,18
gas_line,2019,2020.04.06,interior,864,rm,s,0.15,19
gas_line,2019,2020.04.17,perimeter,817,rm,s,0.25,35
gas_line,2019,2020.04.17,perimeter,817,rm,s,0.25,32
gas_line,2019,2020.04.06,interior,863,rm,s,0.5,49
gas_line,2019,2020.04.06,interior,863,rm,s,0.2,22
gas_line,2019,2020.04.22,interior,877,rm,s,0.25,29
gas_line,2019,2020.05.06,interior,866,rm,s,0.1,17
gas_line,2019,2020.05.06,interior,866,rm,s,0.15,19
gas_line,2019,2020.04.16,perimeter,834,rm,s,0.2,27
gas_line,2019,2020.04.20,perimeter,815,rm,s,0.6,51.5
gas_line,2019,2020.04.06,interior,863,rm,s,0.5,41
