harvest,location,point,comm.per.acre_point.supp,comm.per.acre_point.exp01,comm.per.acre_point.exp02,comm.per.acre_point.exp03,comm.per.acre_point.expsapl,comm.per.acre_point.exp,comm.per.acre_point.total,comm.per.acre_point.top4,count
cgl,control,737,0,6077.015089235906,0,0,0,6077.015089235906,6077.015089235906,385.1589656094425,1
cgl,control,738,0,9115.52263385386,0,0,0,9115.52263385386,9115.52263385386,770.317931218885,1
cgl,control,740,0,12154.030178471812,0,0,0,12154.030178471812,12154.030178471812,385.1589656094425,1
cgl,control,742,3038.507544617953,25320.89620514961,0,0,0,25320.89620514961,28359.403749767564,385.1589656094425,1
cgl,control,743,2025.6716964119687,24308.060356943624,0,0,0,24308.060356943624,26333.732053355594,0,1
cgl,control,744,8102.686785647875,21269.55281232567,0,0,0,21269.55281232567,29372.239597973545,770.317931218885,1
cgl,control,745,0,2025.6716964119687,385.1589656094425,0,0,2410.830662021411,2410.830662021411,385.1589656094425,1
crp,control,746,0,1012.8358482059843,0,0,0,1012.8358482059843,1012.8358482059843,0,1
crp,control,747,0,2025.6716964119687,0,0,0,2025.6716964119687,2025.6716964119687,770.317931218885,1
crp,control,748,0,3038.507544617953,0,0,0,3038.507544617953,3038.507544617953,0,1
crp,control,750,0,1012.8358482059843,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425,1
crp,control,752,0,3038.507544617953,0,0,0,3038.507544617953,3038.507544617953,0,1
crp,control,753,0,2025.6716964119687,0,0,0,2025.6716964119687,2025.6716964119687,0,1
crp,control,754,0,8102.686785647875,385.1589656094425,0,0,8487.845751257317,8487.845751257317,0,1
crp,control,755,0,1012.8358482059843,0,0,0,1012.8358482059843,1012.8358482059843,0,1
crp,control,756,0,1012.8358482059843,0,0,0,1012.8358482059843,1012.8358482059843,0,1
crp,control,757,0,1012.8358482059843,0,0,0,1012.8358482059843,1012.8358482059843,0,1
crp,control,758,1012.8358482059843,9115.52263385386,0,0,0,9115.52263385386,10128.358482059844,0,1
crp,control,761,0,3038.507544617953,0,0,0,3038.507544617953,3038.507544617953,0,1
crp,control,762,1012.8358482059843,7089.85093744189,0,0,0,7089.85093744189,8102.686785647875,0,1
crp,control,763,0,8102.686785647875,0,0,0,8102.686785647875,8102.686785647875,1540.63586243777,1
crp,control,764,0,4051.3433928239374,0,0,0,4051.3433928239374,4051.3433928239374,0,1
crp,control,766,0,5064.179241029922,385.1589656094425,0,0,5449.338206639364,5449.338206639364,0,1
crp,control,767,0,7089.85093744189,0,0,0,7089.85093744189,7089.85093744189,0,1
crp,control,768,0,2025.6716964119687,0,0,0,2025.6716964119687,2025.6716964119687,385.1589656094425,1
crp,control,769,0,3038.507544617953,0,0,0,3038.507544617953,3038.507544617953,385.1589656094425,1
crp,control,770,0,7089.85093744189,0,0,0,7089.85093744189,7089.85093744189,1155.4768968283274,1
crp,control,771,6077.015089235906,3038.507544617953,0,0,0,3038.507544617953,9115.52263385386,385.1589656094425,1
crp,control,772,0,1012.8358482059843,0,0,0,1012.8358482059843,1012.8358482059843,0,1
crp,control,773,0,1012.8358482059843,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425,1
crp,control,774,0,7089.85093744189,0,0,0,7089.85093744189,7089.85093744189,1540.63586243777,1
crp,control,775,0,2025.6716964119687,0,0,0,2025.6716964119687,2025.6716964119687,770.317931218885,1
cwb,control,384,0,3038.507544617953,0,0,0,3038.507544617953,3038.507544617953,1155.4768968283274,1
cwb,control,385,0,4051.3433928239374,1155.4768968283274,0,0,5206.820289652265,5206.820289652265,1540.63586243777,1
cwb,control,386,2025.6716964119687,18231.04526770772,0,0,0,18231.04526770772,20256.71696411969,1540.63586243777,1
cwb,control,387,8102.686785647875,23295.22450873764,0,0,0,23295.22450873764,31397.911294385514,1540.63586243777,1
cwb,control,388,4051.3433928239374,0,0,0,0,0,4051.3433928239374,1540.63586243777,1
cwb,control,389,5064.179241029922,8102.686785647875,0,0,0,8102.686785647875,13166.866026677797,1540.63586243777,1
cwb,control,390,9115.52263385386,22282.388660531655,0,0,0,22282.388660531655,31397.911294385514,1540.63586243777,1
cwb,control,391,3038.507544617953,5064.179241029922,0,0,0,5064.179241029922,8102.686785647875,1540.63586243777,1
cwb,control,392,1012.8358482059843,1012.8358482059843,0,0,0,1012.8358482059843,2025.6716964119687,0,1
cwb,control,393,35449.25468720945,30385.07544617953,0,0,0,30385.07544617953,65834.33013338898,385.1589656094425,1
cwb,control,394,1012.8358482059843,0,0,0,0,0,1012.8358482059843,385.1589656094425,1
cwb,control,395,0,2025.6716964119687,0,0,0,2025.6716964119687,2025.6716964119687,770.317931218885,1
cwb,control,396,1012.8358482059843,0,0,0,0,0,1012.8358482059843,385.1589656094425,1
cwb,control,397,1012.8358482059843,0,0,0,0,0,1012.8358482059843,0,1
cwb,control,399,1012.8358482059843,0,0,0,0,0,1012.8358482059843,0,1
cwb,control,400,1012.8358482059843,0,0,0,0,0,1012.8358482059843,0,1
cwb,control,702,1012.8358482059843,8102.686785647875,0,0,0,8102.686785647875,9115.52263385386,1155.4768968283274,1
cwb,control,705,1012.8358482059843,0,0,0,0,0,1012.8358482059843,0,1
