point,count,spp,origin,harvest,location,year,wall,cut,season,numb_yrs_grow,type,size,stems.per.acre
364,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
364,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
364,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
364,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
364,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
364,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
364,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
364,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,1012.8358482059843
364,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,0
364,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,1012.8358482059843
364,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
364,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,1012.8358482059843
364,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
364,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
364,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
364,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,2025.6716964119687
364,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
364,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
364,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
364,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,1012.8358482059843
364,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,2025.6716964119687
364,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,3038.507544617953
364,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
365,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,1012.8358482059843
365,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
365,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
365,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
365,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
365,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
365,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
365,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
365,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,1012.8358482059843
365,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,0
365,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,1012.8358482059843
365,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
365,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,9115.52263385386
365,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
365,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
365,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
365,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
365,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
365,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
365,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
365,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,9115.52263385386
365,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,0
365,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,9115.52263385386
