harvest,location,point,wall,season,cut,year,numb_yrs_grow,origin,spp,LT_seedling,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
sta_rd,interior,372,protected,2022,2017,2022,5,singl/unk,316,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,372,protected,2022,2017,2022,5,singl/unk,372,0,2025.6716964119687,0,0,0,2025.6716964119687,385.1589656094425,0,0,2025.6716964119687,2410.830662021411,4436.502358433379,0
sta_rd,interior,372,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,372,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,5392.225518532195,5392.225518532195,1155.4768968283274,0,11939.927933892717,11939.927933892717,1540.63586243777
sta_rd,interior,373,protected,2022,2017,2022,5,singl/unk,004,4051.3433928239374,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,373,protected,2022,2017,2022,5,singl/unk,372,0,0,0,0,0,75962.68861544883,13480.563796330487,0,0,0,89443.25241177932,89443.25241177932,770.317931218885
sta_rd,interior,373,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,6077.015089235906,5777.384484141638,0,0,0,11854.399573377545,11854.399573377545,770.317931218885
sta_rd,interior,374,protected,2022,2017,2022,5,singl/unk,004,1012.8358482059843,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,374,protected,2022,2017,2022,5,singl/unk,315,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,374,protected,2022,2017,2022,5,singl/unk,372,0,1012.8358482059843,0,0,0,0,770.317931218885,0,0,1012.8358482059843,770.317931218885,1783.1537794248693,0
sta_rd,interior,374,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,0,2310.953793656655,4621.90758731331,0,6932.861380969965,6932.861380969965,1540.63586243777
