harvest,location,point,count,season,spp,origin,cut,year,numb_yrs_grow,wall,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
recknagel,perimeter,151,1,2020,eh,veg,2019,2020,1,protected,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
recknagel,perimeter,152,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,perimeter,152,1,2020,eh,veg,2019,2020,1,protected,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
recknagel,perimeter,152,1,2020,bc,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,153,1,2020,sm,singl/unk,2019,2020,1,protected,1012.8358482059843,0,0,0,0,0,0,0,1012.8358482059843,0,1012.8358482059843,0
recknagel,interior,153,1,2020,svb,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,153,1,2020,eh,veg,2019,2020,1,protected,0,0,0,0,17218.209419501734,0,0,0,0,17218.209419501734,17218.209419501734,0
recknagel,interior,154,1,2020,ab,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,154,1,2020,wa,veg,2019,2020,1,protected,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
recknagel,interior,154,1,2020,pc,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,155,1,2020,rm,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,156,1,2020,rm,veg,2019,2020,1,protected,0,0,0,0,7089.85093744189,0,0,0,0,7089.85093744189,7089.85093744189,0
recknagel,interior,156,1,2020,rm,singl/unk,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
