harvest,season,cut,year,numb_yrs_grow,point,location,wall,spp,count,origin,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total
recknagel_north,2023,2019,2023,4,1432,perimeter,protected,701,1,single,0,0,0,0,0,0,385.15496228238675,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1432,perimeter,protected,761,1,single,0,0,0,0,0,0,385.15496228238675,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1432,perimeter,protected,762,1,single,0,0,0,0,0,0,385.15496228238675,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1432,perimeter,protected,833,1,single,6076.951924981411,1925.7748114119338,0,0,0,3081.239698259094,0,0,8002.726736393345,3081.239698259094,11083.966434652439
recknagel_north,2023,2019,2023,4,1433,perimeter,protected,125,1,single,0,385.15496228238675,0,0,0,0,0,0,385.15496228238675,0,385.15496228238675
recknagel_north,2023,2019,2023,4,1433,perimeter,protected,531,1,single,0,385.15496228238675,0,0,0,0,0,0,385.15496228238675,0,385.15496228238675
recknagel_north,2023,2019,2023,4,1433,perimeter,protected,541,1,single,1012.8253208302352,0,0,0,0,0,0,0,1012.8253208302352,0,1012.8253208302352
recknagel_north,2023,2019,2023,4,1433,perimeter,protected,866,1,single,0,0,0,0,0,0,385.15496228238675,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1433,perimeter,protected,951,1,single,0,0,0,0,0,0,385.15496228238675,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1434,perimeter,protected,316,1,single,0,385.15496228238675,0,0,0,0,0,0,385.15496228238675,0,385.15496228238675
recknagel_north,2023,2019,2023,4,1434,perimeter,protected,318,1,single,1012.8253208302352,0,0,0,0,0,0,0,1012.8253208302352,0,1012.8253208302352
recknagel_north,2023,2019,2023,4,1434,perimeter,protected,372,1,single,1012.8253208302352,0,0,0,0,0,0,649.9489988515276,1012.8253208302352,649.9489988515276,1662.7743196817628
recknagel_north,2023,2019,2023,4,1434,perimeter,protected,372,3,clump,0,0,0,0,0,0,1155.4648868471602,0,0,1155.4648868471602,1155.4648868471602
