harvest,wall,location,point,count,season,cut,year,numb_yrs_grow,origin,spp,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
recknagel,protected,interior,160,1,2021,2019,2021,2,veg,746,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,interior,160,1,2021,2019,2021,2,singl/unk,541,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,385.1589656094425
recknagel,protected,interior,160,1,2021,2019,2021,2,singl/unk,951,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
recknagel,protected,interior,160,1,2021,2019,2021,2,veg,531,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,interior,160,1,2021,2019,2021,2,singl/unk,761,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425
recknagel,protected,interior,161,1,2021,2019,2021,2,singl/unk,541,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
recknagel,protected,interior,161,1,2021,2019,2021,2,singl/unk,833,0,0,0,0,16205.37357129575,0,0,0,0,16205.37357129575,16205.37357129575,385.1589656094425
recknagel,protected,interior,161,1,2021,2019,2021,2,veg,531,0,0,0,0,7089.85093744189,0,0,0,0,7089.85093744189,7089.85093744189,0
recknagel,protected,interior,161,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,5064.179241029922,0,0,0,0,5064.179241029922,5064.179241029922,385.1589656094425
recknagel,protected,interior,161,1,2021,2019,2021,2,singl/unk,391,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
recknagel,protected,interior,162,1,2021,2019,2021,2,veg,531,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
recknagel,protected,interior,163,1,2021,2019,2021,2,veg,355,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,385.1589656094425
recknagel,protected,interior,163,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
recknagel,protected,interior,163,1,2021,2019,2021,2,veg,531,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
